NomFrançais|NomAnglais|Date|CAS|NoUN|Classification|PourcentageDeDivulgation|Annexe 4|Commentaire|
Trichloro-1,2,2 difluoro-1,2 éthane|1,2,2-Trichloro-1,2-difluoroethane|2014-11-14|354-15-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Trichloro-1,2,3 benzène|1,2,3-Trichlorobenzene|2014-11-14|87-61-6||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Trichloro-1,2,3 propane|1,2,3-Trichloropropane|2015-12-03|96-18-4||DP.6.4, DS.1c.3, DS.1o.3, DS.3.2, DS.6.1B, DS.7.2|Réglementation|||
Trichloro-1,2,4 benzène|1,2,4-Trichlorobenzene|2015-12-22|120-82-1|UN2321|DS.1o.4|Réglementation|||
Trichloro-1,3,5 benzène|1,3,5-Trichlorobenzene|2014-11-14|108-70-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Trichloro-1,4,6 naphtalène|1,4,6-Trichloronaphthalene|2016-08-15|2437-54-9||Produit non contrôlé|Non requise|||
Trichloro-2,3,4 phénol|2,3,4-Trichlorophenol|2014-11-14|15950-66-0|UN2020|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.3.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trichloro-2,3,5 phénol|2,3,5-Trichlorophenol|2014-11-14|933-78-8|UN2020|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.3.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trichloro-2,3,6 phénol|2,3,6-Trichlorophenol|2014-11-14|933-75-5|UN2020|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.3.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trichloro-2,4,5 phénol|2,4,5-Trichlorophenol|2014-11-14|95-95-4|UN2020|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.3.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trichloro-2,4,5 phénol|2,4,5-Trichlorophenol|2014-11-14|77001-45-7|UN2020|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.3.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trichloro-2,4,6 phénol|2,4,6-Trichlorophenol|2014-11-14|88-06-2|UN2020|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.3.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trichloro-3,4,5 phénol|3,4,5-Trichlorophenol|2014-11-14|609-19-8|UN2020|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.3.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trichloroéthylène|Trichloroethylene|2015-02-26|79-01-6|UN1710|DS.2.2, DS.3.2A, DS.5.2, DS.6.1A, DS.7.1B, DS.8n.3, DS.9.1, DS.10.1|Réglementation|||
Trichloronaphtalène|Trichloronaphthalene|2015-09-29|1321-65-9||Produit non contrôlé|Non requise|||
Trichlorure d'antimoine|Antimony trichloride|2014-11-14|10025-91-9|UN1733|DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.7a.99, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trichlorure d'azote|Nitrogen trichloride|2016-08-05|10025-85-1||DP.20ex.1, DS.1i.1, DS.3.2, DS.8i.3, DP.13.99|Réglementation|||
Trichlorure de cobalt(III)|Cobalt(III) trichloride|2014-11-14|10241-04-0||DS.1c.99, DS.1i.99, DS.1o.99, DS.4c.1, DS.4r.1, DS.6.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trichlorure de lanthane|Lanthanum chloride|2014-11-14|10099-58-8||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Trichlorure de lanthane 10%|Lanthanum chloride 10%|2014-11-14|||DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Trichlorure de monobutylétain (normal)|Butyltrichlorotin|2015-10-06|1118-46-3||DP.6.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Trichlorure de phosphore|Phosphorus trichloride|2016-03-15|7719-12-2|UN1809|DP.20pex.1, DS.1i.1, DS.1o.2, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Au contact de l'eau, libère des gaz mortels en cas d'inhalation : Phosphine. Au contact de l'eau, libère également du chlorure d'hydrogène.|
Trichlorure de platine|Platinum trichloride|2015-10-23|25909-39-1||Produit non contrôlé|Non requise|||
Trichlorure d'indium|Indium trichloride|2016-08-04|10025-82-8||DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Tridécane|Tridecane|2016-07-27|629-50-5||DP.6.4, DS.10.1|Réglementation|||
Tridymite|Tridymite|2015-02-25|15468-32-3||DS.9.1|Réglementation|||
Triéthanolamine|Tris(2-hydroxyethyl)amine|2015-03-17|102-71-6||Produit non contrôlé|Non requise|||
Triéthoxysilane|Triethoxysilane|2014-11-14|998-30-1||DP.6.3, DS.1i.99, DS.3.2, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Triéthylamine|Triethylamine|2016-01-22|121-44-8|UN1296|DP.6.2, DS.1c.3, DS.1i.3, DS.1o.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation||Ce produit pourrait être corrosif pour les métaux, veuillez contacter le fournisseur pour plus d'information.|
Triéthylène glycol|Triethylene glycol|2016-08-11|112-27-6||Produit non contrôlé|Non requise|||
Triéthylène tétramine|Triethylenetetramine|2016-07-12|112-24-3|UN2259|DS.1c.3, DS.2.1, DS.3.1, DS.4c.1, DS.12co.1|Réglementation|||
Triéthylène tétramine propoxylé|Triethylenetetramine propoxylated|2014-11-14|88375-39-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Triéthylène tétramine propoxylé|Triethylenetetramine propoxylated|2014-11-14|117501-59-4||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Triéthylène tétramine propoxylé|Triethylenetetramine propoxylated|2014-11-14|68441-70-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Trifluoro-1,1,1 éthane|1,1,1-Trifluoroethane|2014-11-14|420-46-2|UN2035|DP.2.1, DP.5.2, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trifluorométhane|Trifluoromethane|2014-11-14|75-46-7|UN1984|DP.5.2, DS.1c.99, DS.1i.99, DS.1o.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trifluorure d'aluminium|Aluminum trifluoride|2015-02-23|7784-18-1||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.99, DS.3.2, DS.4c.99, DS.5.99, DS.7a.99, DS.8.99, DS.9.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trifluorure d'antimoine|Antimony trifluoride|2015-12-22|7783-56-4||DS.1o.4|Réglementation|||
Trifluorure d'azote|Nitrogen trifluoride|2015-12-21|7783-54-2|UN2451|DP.4.1, DP.5.2, DS.1i.4|Réglementation|||
Trifluorure de bismuth|Bismuth trifluoride|2015-12-23|7787-61-3||Produit non contrôlé|Non requise||Aucune donnée permettant la classification n'est disponible. Aucune relation structure-activité n'a pu être établie conformément à des principes scientifiques reconnus.|
Trifluorure de bore|Boron trifluoride|2015-12-21|7637-07-2|UN1008|DP.5.2, DS.1i.2, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Au contact de l'eau, libère des gaz mortels en cas d'inhalation. Il n'y a aucune donnée disponible pour le trifluorure de bore concernant son pouvoir d'irritation ou de corrosion. Cependant, il forme au contact de l'eau des substances corrosives: Fluorure d'hydrogène, acide borique et acide fluoborique.|
Trifluorure de chlore|Chlorine trifluoride|2015-12-21|7790-91-2|UN1749|DP.4.1, DP.5.2, DP.20pex.1, DS.1i.2, DS.2.1, DS.3.1, DS.8i.3|Réglementation||Il n'y a aucune donnée disponible pour le trifluorure de chlore concernant son pouvoir d'irritation ou de corrosion. Cependant, il forme au contact de l'eau une substance corrosive: Acide fluorhydrique.|
Trifluorure de néodyme|Neodymium trifluoride|2015-12-23|13709-42-7||Produit non contrôlé|Non requise|||
Trifluorure de titane|Titanium trifluoride|2015-12-23|13470-08-1||Produit non contrôlé|Non requise||Aucune donnée permettant la classification n'est disponible. Aucune relation structure-activité n'a pu être établie conformément à des principes scientifiques reconnus.|
Triisopropanolamine|Triisopropanolamine|2014-11-14|122-20-3||DS.1c.99, DS.1i.99, DS.1o.99, DS.2.1, DS.3.1, DS.8.99, DS.12co.1|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Triisopropylate d'aluminium|Aluminum triisopropylate|2014-11-14|555-31-7||DS.1c.99, DS.1i.99, DS.1o.99, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.  Ce produit n’était pas contrôlé en vertu du Règlement sur les produits contrôlés.|
Triméthyl-1,2,3 benzène|Hemimellitene|2015-12-15|526-73-8||DP.6.3, DS.10.1|Réglementation|||
Triméthyl-1,2,4 benzène|1,2,4-Trimethylbenzene|2015-08-14|95-63-6||DP.6.3, DS.10.1|Réglementation|||
Triméthyl-1,3,5 benzène|Mesitylene|2015-12-15|108-67-8|UN2325|DP.6.3, DS.2.2, DS.10.1|Réglementation|||
Triméthyl-2,3,5 naphtalène|2,3,5-Trimethylnaphthalene|2016-02-25|2245-38-7||Produit non contrôlé|Non requise|||
Triméthylamine|Trimethylamine|2015-10-06|75-50-3|UN1083|DP.2.1, DP.5.2, DS.1i.4, DS.2.1, DS.3.1, DS.12co.1|Réglementation|||
Triméthylate d'aluminium|Aluminum trimethyl|2016-02-11|75-24-1||DP.6.2, DP.9.1, DP.12.99|Réglementation||La donnée du temps d'inflammation nécessaire pour évaluer la pyrophoricité du produit n'est pas disponible dans la littérature scientifique consultée. Le risque a toutefois été jugé suffisamment important pour classifier le produit.|
Triméthylbenzène|Trimethylbenzene|2015-08-25|25551-13-7||DP.6.3, DS.10.1|Réglementation|||
Triméthylphénylméthane|tert-Butylbenzene|2014-11-14|98-06-6|UN2709|DP.6.3, DS.1c.99, DS.1i.99, DS.1o.99, DS.2.2, DS.7a.99, DS.8.99|Réglementation||Cette classification provient d’une conversion informatique de la classification établie en vertu du Règlement sur les produits contrôlés. La classification complète selon le Règlement sur les produits dangereux sera établie ultérieurement.|
Trinitro-2,4,6 toluène|2,4,6-Trinitrotoluene|2016-03-18|118-96-7|UN0209|DP.20ex.1, DS.1o.4, DS.4c.1B, DS.9.1|Réglementation||Matière thermiquement instable susceptible de subir une décomposition fortement exothermique. Des épreuves de laboratoire sur le produit tel qu'emballé sont nécessaires pour préciser la catégorie (type A à G) de cette classe.|
